code;description
Z08;Examen de contrôle après traitement d'une tumeur maligne
Z080;Examen de contrôle après traitement chirurgical d'une tumeur maligne
Z081;Examen de contrôle après radiothérapie pour tumeur maligne
Z082;Examen de contrôle après chimiothérapie pour tumeur maligne
Z087;Examen de contrôle après traitements combinés pour tumeur maligne
Z088;Examen de contrôle après d'autres traitements pour tumeur maligne
Z089;Examen de contrôle après traitement pour tumeur maligne, sans précision
Z09;Examen de contrôle après traitement d'affections autres que les tumeurs malignes
Z090;Examen de contrôle après traitement chirurgical d'autres affections
Z091;Examen de contrôle après radiothérapie pour d'autres affections
Z092;Examen de contrôle après chimiothérapie pour d'autres affections
Z093;Examen de contrôle après psychothérapie
Z094;Examen de contrôle après traitement d'une fracture
Z097;Examen de contrôle après traitements combinés pour d'autres affections
Z098;Examen de contrôle après d'autres traitements pour d'autres affections
Z099;Examen de contrôle après traitement pour une affection, sans précision
Z34;Surveillance d'une grossesse normale
Z340;Surveillance d'une première grossesse normale
Z348;Surveillance d'une autre grossesse normale
Z349;Surveillance d'une grossesse normale, sans précision
Z35;Surveillance d'une grossesse à haut risque
Z350;Surveillance d'une grossesse avec antécédent de stérilité
Z351;Surveillance d'une grossesse avec antécédent d'avortement
Z352;Surveillance d'une grossesse avec d'autres antécédents obstétricaux pathologiques et difficultés à procréer
Z353;Surveillance d'une grossesse avec antécédent de soins prénatals insuffisants
Z354;Surveillance d'une grossesse avec multiparité élevée
Z355;Surveillance d'une primipare âgée
Z356;Surveillance d'une primipare très jeune
Z357;Surveillance d'une grossesse à haut risque du fait de problèmes sociaux
Z358;Surveillance d'autres grossesses à haut risque
Z359;Surveillance de grossesse à haut risque, sans précision
Z38;Enfants nés vivants, selon le lieu de naissance
Z380;Enfant unique, né à l'hôpital
Z381;Enfant unique, né hors d'un hôpital
Z382;Enfant unique, lieu de naissance non précisé
Z383;Jumeaux, nés à l'hôpital
Z384;Jumeaux, nés hors d'un hôpital
Z385;Jumeaux, lieu de naissance non précisé
Z386;Autres naissances multiples, enfants nés à l'hôpital
Z387;Autres naissances multiples, enfants nés hors d'un hôpital
Z388;Autres naissances multiples, lieu de naissance non précisé
Z39;Soins et examens du post-partum
Z390;Soins et examens immédiatement après l'accouchement
Z3900;Soins et examens immédiatement après un accouchement hors d'un établissement de santé
Z3908;Soins et examens immédiatement après l'accouchement, autres et sans précision
Z391;Soins et examens de l'allaitement maternel
Z392;Contrôle de routine au cours du post-partum
Z48;Autres soins de contrôle chirurgicaux
Z480;Surveillance des sutures et pansements chirurgicaux
Z488;Autres soins de contrôle chirurgicaux précisés
Z489;Soin de contrôle chirurgical, sans précision
Z713;Surveillance et conseils diététiques
Z714;Conseil et surveillance pour alcoolisme
Z715;Conseil et surveillance pour toxicomanie et pharmacodépendance
Z762;Surveillance médicale et soins médicaux d'autres nourrissons et enfants en bonne santé
